State/UT,Year,Loan Accounts,Outstanding Amount (₹ Crores)
Andaman and Nicobar Islands,2021,531,26.53
Andhra Pradesh,2021,96434,6189.84
Arunachal Pradesh,2021,370,13.11
Assam,2021,13194,493.36
Bihar,2021,87346,2954.97
Chandigarh,2021,4168,349.25
Chhattisgarh,2021,17744,703.56
Dadra and Nagar Haveli and Daman and Diu,2021,474,41.91
Delhi,2021,35666,2284.53
Goa,2021,8134,502.45
Gujarat,2021,49234,3527.47
Haryana,2021,30404,1774.94
Himachal Pradesh,2021,13592,485.92
Jammu and Kashmir,2021,14163,586.74
Jharkhand,2021,40394,1992.2
Karnataka,2021,210437,7964.98
Kerala,2021,307670,11050.9
Ladakh,2021,33,2.86
Lakshadweep,2021,14,0.47
Madhya Pradesh,2021,88637,3045.19
Maharashtra,2021,190637,8882.29
Manipur,2021,832,39.54
Meghalaya,2021,3554,149.87
Mizoram,2021,299,10.37
Nagaland,2021,347,15.41
Odisha,2021,61057,2117.48
Puducherry,2021,16831,430.1
Punjab,2021,31025,2086.3
Rajasthan,2021,43102,2083.31
Sikkim,2021,765,20.44
Tamil Nadu,2021,625735,16301.93
Telangana,2021,62962,5064.1
Tripura,2021,4386,106.86
Uttar Pradesh,2021,105142,4269.58
Uttarakhand,2021,19899,903.13
West Bengal,2021,71639,3005.12
